split,image_id,label_file,modalities,added,removed,modified,classes_affected,change_types,verification_statuses,note
test,00001,test/00001.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00003,test/00003.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00004,test/00004.txt,IR,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00005,test/00005.txt,IR,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00006,test/00006.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00007,test/00007.txt,IR,0,0,3,car|truck,OBB_adjustment:2;category_correction:1,auto_high_confidence:3,file-level summary aggregated from instance-level refinement records
test,00008,test/00008.txt,IR|RGB,0,0,16,car,OBB_adjustment:16,needs_review:16,file-level summary aggregated from instance-level refinement records
test,00009,test/00009.txt,IR|RGB,0,0,5,bus|car,OBB_adjustment:5,needs_review:5,file-level summary aggregated from instance-level refinement records
test,00010,test/00010.txt,IR|RGB,0,0,9,car,OBB_adjustment:9,needs_review:9,file-level summary aggregated from instance-level refinement records
test,00011,test/00011.txt,IR|RGB,0,0,5,car,OBB_adjustment:5,needs_review:5,file-level summary aggregated from instance-level refinement records
test,00012,test/00012.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00013,test/00013.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00014,test/00014.txt,IR|RGB,0,0,11,car|van,OBB_adjustment:5;category_correction:6,auto_high_confidence:6;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00016,test/00016.txt,IR|RGB,0,0,4,car|freight_car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00019,test/00019.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00020,test/00020.txt,IR,0,0,3,bus|car,OBB_adjustment:3,auto_high_confidence:1;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00022,test/00022.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:4;category_correction:2,auto_high_confidence:4;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00023,test/00023.txt,IR,0,0,2,car|truck|van,category_correction:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00024,test/00024.txt,IR,0,0,4,car|truck|van,OBB_adjustment:2;category_correction:2,auto_high_confidence:3;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00026,test/00026.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:3;category_correction:3,auto_high_confidence:3;needs_review:3,file-level summary aggregated from instance-level refinement records
test,00027,test/00027.txt,IR|RGB,0,0,5,car|freight_car|truck|van,OBB_adjustment:1;category_correction:4,auto_high_confidence:4;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00028,test/00028.txt,IR,0,0,2,car|freight_car|truck,OBB_adjustment:1;category_correction:1,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00029,test/00029.txt,IR|RGB,0,0,5,car|truck|van,OBB_adjustment:1;category_correction:4,auto_high_confidence:4;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00030,test/00030.txt,IR,0,0,2,car|van,OBB_adjustment:1;category_correction:1,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00031,test/00031.txt,IR|RGB,0,0,8,car|van,OBB_adjustment:6;category_correction:2,auto_high_confidence:3;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00032,test/00032.txt,IR,0,0,1,car|truck,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00033,test/00033.txt,IR,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00034,test/00034.txt,IR,0,1,2,car|freight_car,OBB_adjustment:1;category_correction+OBB_adjustment:1;removal:1,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00035,test/00035.txt,IR|RGB,0,1,2,car,OBB_adjustment:2;removal:1,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00036,test/00036.txt,IR,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00037,test/00037.txt,IR,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00039,test/00039.txt,IR|RGB,0,0,10,car|van,OBB_adjustment:8;category_correction:2,auto_high_confidence:5;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00040,test/00040.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00041,test/00041.txt,IR,0,0,8,car,OBB_adjustment:8,needs_review:8,file-level summary aggregated from instance-level refinement records
test,00042,test/00042.txt,IR,0,0,4,car|freight_car|truck,OBB_adjustment:1;category_correction:3,auto_high_confidence:3;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00043,test/00043.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:2;category_correction:4,auto_high_confidence:5;needs_review:1,file-level summary aggregated from instance-level refinement records
